Time	(R - R')	(V - V')	(Y - Y')	(L - L')
0	4	0	0	0
1500	3.65000468230254	1.1880459341519	2.35087591867996	0
3000	3.6500046822771	2.40236980098795	4.79753291078458	0
4500	3.6500046822771	2.2400118590854	4.4884277365498	0
6000	3.6500046822771	1.69934035337481	3.4038751982601	0
7500	3.6500046822771	1.62159756757538	3.24114008889802	0
9000	3.6500046822771	1.82220800134063	3.6417422195986	0
10500	3.6500046822771	1.90750221926085	3.81513236974865	0
12000	3.6500046822771	1.84816182569814	3.69745179848061	0
13500	3.6500046822771	1.79743928816943	3.59512703247492	0
15000	3.6500046822771	1.80824854313911	3.61610225506093	0
16500	3.6500046822771	1.83181660036522	3.66342755274828	0
18000	3.6500046822771	1.83364765696522	3.66740174289549	0
19500	3.6500046822771	1.82452420126151	3.64916011167968	0
21000	3.6500046822771	1.82139046594764	3.6427672285742	0
22500	3.6500046822771	1.82423669824092	3.64842447835835	0
24000	3.6500046822771	1.82627980959564	3.65255180881299	0
25500	3.6500046822771	1.82567676150796	3.65137127042131	0
27000	3.6500046822771	1.82468730663813	3.64938265357623	0
28500	3.6500046822771	1.82468301498807	3.64936148081655	0
30000	3.6500046822771	1.82504603435434	3.65008824833689	0
31500	3.6500046822771	1.82512748251794	3.65025533594447	0
33000	3.6500046822771	1.82504964891282	3.65010066334202	0
34500	3.6500046822771	1.82498775650036	3.6499760006157	0
36000	3.6500046822771	1.82498981203948	3.64997915370524	0
37500	3.65000468227709	1.8250287921162	3.65005712139374	0
39000	3.65000468227709	1.82504604178993	3.6500923039611	0
40500	3.65000468227709	1.82502238426821	3.65004531700554	0
42000	3.65000468227709	1.82499421242872	3.64998851519005	0
43500	3.65000468227709	1.82499999702749	3.64999953434835	0
45000	3.65000468227709	1.82502848361537	3.65005663249897	0
46500	3.65000468227709	1.82503851645961	3.6500772669936	0
48000	3.65000468227709	1.82501827808033	3.65003698069896	0
49500	3.65000468227709	1.82499868731446	3.64999739494862	0
50000	3.65000468227709	1.82499716986404	3.64999418115922	0
50000	-4.34999531772291	1.82499716986404	3.64999418115922	0
51000	-3.65004438937124	0.57990168447174	1.20616341717909	0
52500	-3.65004426544625	-2.4804215777262	-4.93058680425897	0
54000	-3.65004426544625	-2.98527623166787	-5.98146468719388	0
55500	-3.65004426544625	-1.866406800708	-3.7481205316846	0
57000	-3.65004426544625	-1.36098414501471	-2.72158490479928	0
58500	-3.65004426544625	-1.68433832307378	-3.36230472173029	0
60000	-3.65004426544625	-1.97765680427518	-3.95377297442401	0
61500	-3.65004426544625	-1.92334360958092	-3.84888707678775	0
63000	-3.65004426544625	-1.78869492493708	-3.57860709168114	0
64500	-3.65004426544625	-1.7750582667776	-3.54953763591409	0
66000	-3.65004426544625	-1.82671465274662	-3.65277646263242	0
67500	-3.65004426544625	-1.84597737507008	-3.69201942846246	0
69000	-3.65004426544625	-1.82989296111707	-3.66006992080846	0
70500	-3.65004426544625	-1.81778819820421	-3.63562493130774	0
72000	-3.65004426544625	-1.82114304200397	-3.64218376521703	0
73500	-3.65004426544626	-1.82693182122384	-3.65381615316227	0
75000	-3.65004426544625	-1.82713887621874	-3.65430662340813	0
76500	-3.65004426544626	-1.82483501166427	-3.64969718140123	0
78000	-3.65004426544626	-1.82414564367297	-3.64828721368434	0
79500	-3.65004426544626	-1.82488000971736	-3.64974884264935	0
81000	-3.65004426544626	-1.825306887213	-3.65061212098116	0
82500	-3.65004426544626	-1.82518175907835	-3.65036707517397	0
84000	-3.65004426544626	-1.82497877081773	-3.64995941067334	0
85500	-3.65004426544626	-1.82496028719564	-3.64991965927735	0
87000	-3.65004426544626	-1.8250557707026	-3.65011063885992	0
88500	-3.65004426544626	-1.82508400851631	-3.65016863158123	0
90000	-3.65004426544626	-1.82502639826775	-3.65005360315964	0
91500	-3.65004426544626	-1.82499552702608	-3.6499907028154	0
93000	-3.65004426544626	-1.82503522901059	-3.65006972711589	0
94500	-3.65004426544626	-1.82506917999412	-3.65013845516679	0
96000	-3.65004426544626	-1.82504579035228	-3.65009220309235	0
97500	-3.65004426544626	-1.82501365205256	-3.65002738731823	0
99000	-3.65004426544625	-1.82502380538307	-3.65004713908675	0
100000	-3.65004426544625	-1.82504445193935	-3.65008854977886	0
100000	4.34995573455375	-1.82504445193935	-3.65008854977886	0
100500	3.65026239842819	-1.47653050726509	-2.98186125892686	0
102000	3.65004089794732	1.63735106642217	3.23099640130037	0
103500	3.65004089794728	3.1274515177682	6.25503379905822	0
105000	3.65004089794728	2.24982112812127	4.51757808338608	0
106500	3.65004089794728	1.40513714137821	2.81500977174428	0
108000	3.65004089794728	1.5391085932871	3.07213692891109	0
109500	3.65004089794728	1.92066174538373	3.83776262691992	0
111000	3.65004089794728	1.96762284058933	3.93678484529727	0
112500	3.65004089794728	1.82393506992407	3.64973859902596	0
114000	3.65004089794728	1.76641748434156	3.53270308947164	0
115500	3.65004089794728	1.80988390065051	3.61896908341447	0
117000	3.65004089794728	1.84495022997667	3.68974216882203	0
118500	3.65004089794728	1.8365264365309	3.67333650949868	0
120000	3.65004089794728	1.8199822956527	3.64010544575175	0
121500	3.65004089794728	1.81897769607245	3.63787728096249	0
123000	3.65004089794728	1.82546808748184	3.65085758396319	0
124500	3.65004089794728	1.82758182446962	3.65517381959989	0
126000	3.65004089794728	1.82557192746493	3.65117769638728	0
127500	3.65004089794728	1.82416992020691	3.64834540507592	0
129000	3.65004089794728	1.82457712374467	3.64914215196085	0
130500	3.65004089794728	1.82525459684535	3.6505036516681	0
132000	3.65004089794729	1.82527851538354	3.65056029316573	0
133500	3.65004089794729	1.8250134497358	3.6500299365342	0
135000	3.65004089794729	1.82493575905096	3.64987062927777	0
136500	3.65004089794728	1.8250442643416	3.65008718013709	0
138000	3.65004089794728	1.82508665829684	3.65017378447827	0
139500	3.65004089794728	1.82502840119996	3.65005755423795	0
141000	3.65004089794728	1.82500463862231	3.65000898592595	0
142500	3.65004089794729	1.82503841449477	3.65007637997906	0
144000	3.65004089794729	1.82505600550003	3.65011225955891	0
145500	3.65004089794729	1.82503447409961	3.65006950392344	0
147000	3.65004089794729	1.82501035896396	3.65002076627551	0
148500	3.65004089794729	1.82501999336601	3.65003951044498	0
150000	3.65004089794729	1.82504803684326	3.65009578934518	0
