Time	Signal
0	0
60	0
120	0
180	0
240	0
300	0
360	0
420	0
480	0
540	0
600	0
600	0
660	0.0801450426745596
720	0.302856331790934
780	0.545158850892549
840	0.76014525816937
900	0.942123503763489
960	1.09507068280356
1020	1.22393626383302
1080	1.33296898230179
1140	1.42558522393362
1200	1.50454191194111
1260	1.57205518210184
1320	1.62993157135147
1380	1.67965718875948
1440	1.72245950858137
1500	1.75936355581419
1560	1.79122723955111
1620	1.8187715877118
1680	1.84260569317599
1740	1.86324787740154
1800	1.88113979037378
1860	1.89665858661651
1920	1.91012703742357
1980	1.92182245552999
2040	1.931983394173
2100	1.94081237531723
2160	1.94848603335343
2220	1.95515779507777
2280	1.96096040856096
2340	1.96600936701286
2400	1.97040339202653
2460	1.97422750379145
2520	1.97755571500217
2580	1.98045249862065
2640	1.98297450137318
2700	1.98517065998139
2760	1.98708320124987
2820	1.98874875059462
2880	1.99019904436837
2940	1.99146192468177
3000	1.99256158798653
3060	1.99351899079218
3120	1.99435304505663
3180	1.99507916250027
3240	1.99571214067248
3300	1.99626339798665
3360	1.9967440330866
3420	1.99716282948452
3480	1.99752783626332
3540	1.99784588310507
3600	1.99812295247904
3660	1.99836431060649
3720	1.99857450076991
3780	1.99875766890401
3840	1.99891716919062
3900	1.99905624523775
3960	1.9991773920525
4020	1.9992830214589
4080	1.99937506294238
4140	1.99945527637365
4200	1.99952515817329
4260	1.99958603727679
4320	1.99963900144862
4380	1.99968499634039
4440	1.99972500097416
4500	1.99975996925402
4560	1.9997900576702
4620	1.99981605510747
4680	1.99983875959491
4740	1.99985889924856
4800	1.99987591983232
4860	1.99989076711606
4920	1.99990392766353
4980	1.99991570256931
5040	1.99992578524628
5100	1.99993469680347
5160	1.99994263996682
5220	1.99994969858879
5280	1.9999558888608
5340	1.99996134036803
5400	1.99996610567525
5460	1.99997027603556
5520	1.9999739119771
5580	1.99997706024013
5640	1.99997978446966
5700	1.99998209664271
5760	1.9999840775766
5820	1.99998580381257
5880	1.9999873416935
5940	1.99998861681657
6000	1.99998973571663
